"","13. Outras politicas de lideranca","7. Processo de concessao de pol. trab flexivel","12. Politicas de lideranca","5. Outras politicas de jornada flexivel","9. Politicas contra disccriminacao de genero","2. Controladora","11. Subestimacao e Preconceito","6. Como e a quem praticas de jornada flexivel","3. Medidas de conc. trab-familia-pessoal","1. IP","8. Monitoramento de politicas de trab  flexivel","10. Outras politicas contra discriminacao de genero","4. Politicas de jornada flexivel"
"0","A AES Tietê utiliza como base para todos os programas o Código de Ética e Valores da Companhia","Colaboradores da Sede de Barueri possuem horários alternativos. No caso do teletrabalho, por ser opcional, o colaborador interessado deve assinar o Termo de Trabalho Remoto e definir, junto com o seu gestor, os dias em que trabalhará remotamente.","A empresa não desenvolve ações relativas a programas de incentivo à liderança feminina.","Os colaboradores da Sede Administrativa de Barueri têm horário de trabalho alternativo, das 7 às 16 horas. Um estudo apontou os horários em que as pessoas seriam mais impactadas pelo trânsito da cidade de São Paulo. Assim, na média, conseguimos reduzir em cerca de 1h30, diariamente, o tempo que cada colaborador gasta na ida e volta ao trabalho. Tempo que agora pode ser dedicado para a família, saúde, estudos ou lazer. Os colaboradores que não estão sujeitos à marcação de ponto e ficam lotados na Sede Administrativa podem adotar o home office (trabalho remoto). A política definida para isso prevê recursos (notebook, internet e telefonia) para que o colaborador efetue suas atividades de onde estiver. Além disso, a AES Tietê adota a compensação de ponte de feriados por meio de um calendário de compensação anual para colaboradores não alocados em escala de revezamento.","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as; A empresa inclui e avalia a questão da discriminação de gênero e do assédio sexual dentro de seus procedimentos de gestão de riscos estratégicos e reputacionais; A empresa possui métricas para avaliar o sucesso de seus programas contra a discriminação de gênero e o assédio sexual","AES Brasil (AES Tietê)","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa possui programa de conscientização todos os seus níveis hierárquicos a fim de envolvê-los e gerar compreensão e comprometimento em relação a equidade de gênero e diversidade; A empresa possui treinamento obrigatório de diversidade; A empresa possui treinamento facultativo de diversidade; A empresa possui programa de treinamento obrigatório sobre bias (viéses) e preconceitos de gênero","A empresa concede políticas de jornada de trabalho flexível apenas para cargos específicos; A empresa possui outros critérios para concessão de jornada de trabalho flexível","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as; A empresa mantém programas de respeito e limites com relação ao trabalho remoto fora do horário de trabalho; A empresa analisa caso a caso as demandas dos/as colaboradores/as; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","189.125.126.40","A empresa possui processos de obtenção de feedback sobre as políticas de trabalho flexível","","A empresa adota informalmente práticas de jornada trabalho flexível; A empresa possui política formal de jornada de trabalho flexível de meio período; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa.; Jornadas com redução de dias/horas: funcionários/as podem trabalhar um número menor de dias por semana, ou um número menor de horas por dia; A empresa possui outras políticas de jornada de trabalho flexível"
"1","","A elegibilidade do trabalho flexível se dá de acordo com a natureza do trabalho e da atividade desempenhada na empresa.","A empresa não desenvolve ações relativas a programas de incentivo à liderança feminina.","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa não possui política contra discriminação de gênero, assédio moral ou assédio sexual contra colaboradoras","Grupo Omnicom","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero","A empresa concede políticas de jornada de trabalho flexível apenas para mulheres que voltaram de licença-maternidade; A empresa oferece políticas de jornada de trabalho flexível apenas para pais/mães que voltaram de licença maternidade/paternidade; A empresa concede políticas de trabalho flexível para todos seus/suas colaboradores/as, independentemente da comprovação de demandas específicas","A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima; A empresa analisa caso a caso as demandas dos/as colaboradores/as; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","177.72.248.104","A empresa não possui política de monitoramento de políticas de trabalho flexível","","A empresa adota informalmente práticas de jornada trabalho flexível; Flextime: permite variação de horário na chegada e na saída do trabalho"
"2","A AES Eletropaulo utiliza como base para todos os Programas o Código de Ética e Valores da Companhia.","Os colaboradores de Barueri possuem horário de trabalho alternativo, e no caso do teletrabalho, por ser opcional, o colaborador interessado deve assinar o Termo de Trabalho Remoto e definir, junto com o seu gestor, os dias em que trabalhará remotamente","A empresa não desenvolve ações relativas a programas de incentivo à liderança feminina.","Os colaboradores da Sede Administrativa de Barueri têm horário de trabalho alternativo, das 7 às 16 horas. Um estudo apontou os horários em que as pessoas seriam mais impactadas pelo trânsito da cidade de São Paulo. Assim, na média, conseguimos reduzir em cerca de 1h30, diariamente, o tempo que cada colaborador gasta na ida e volta ao trabalho. Tempo que agora pode ser dedicado para a família, saúde, estudos ou lazer. Os colaboradores que não estão sujeitos à marcação de ponto e ficam lotados na Sede Administrativa podem adotar o home office (trabalho remoto). A política definida para isso prevê recursos (notebook, internet e telefonia) para que o colaborador efetue suas atividades de onde estiver. Além disso, a AES Eletropaulo adota a compensação de ponte de feriados por meio de um calendário de compensação anual para colaboradores não alocados em escala de revezamento.","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as; A empresa inclui e avalia a questão da discriminação de gênero e do assédio sexual dentro de seus procedimentos de gestão de riscos estratégicos e reputacionais; A empresa possui métricas para avaliar o sucesso de seus programas contra a discriminação de gênero e o assédio sexual","AES Brasil (AES Eletropaulo)","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa possui programa de conscientização todos os seus níveis hierárquicos a fim de envolvê-los e gerar compreensão e comprometimento em relação a equidade de gênero e diversidade; A empresa possui treinamento obrigatório de diversidade; A empresa possui treinamento facultativo de diversidade; A empresa possui programa de treinamento obrigatório sobre bias (viéses) e preconceitos de gênero","A empresa concede políticas de jornada de trabalho flexível apenas para cargos específicos; A empresa possui outros critérios para concessão de jornada de trabalho flexível","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as; A empresa mantém programas de respeito e limites com relação ao trabalho remoto fora do horário de trabalho; A empresa analisa caso a caso as demandas dos/as colaboradores/as; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","189.125.126.40","A empresa possui processos de obtenção de feedback sobre as políticas de trabalho flexível","","A empresa adota informalmente práticas de jornada trabalho flexível; A empresa possui política formal de jornada de trabalho flexível de meio período; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa.; Jornadas com redução de dias/horas: funcionários/as podem trabalhar um número menor de dias por semana, ou um número menor de horas por dia; A empresa possui outras políticas de jornada de trabalho flexível"
"3","","Todos os colaboradores tem direito a política de trabalho flexível, sem retrições.","A empresa oferece programa/ações de incentivo à liderança feminina à todas as suas colaboradoras; A empresa promove ações de intercâmbio de experiências entre mulheres em altos cargos de liderança e outras em posições hierarquicamente menos elevadas, com o objetivo de expor as atitudes, competências e habilidades que as líderes desenvolveram para ascender; A empresa promove networking entre as colaboradoras da empresa; As redes de networking feminino da empresa são formalmente estabelecidas; A empresa oferece treinamento de desenvolvimento de habilidades de liderança específico para mulheres; As práticas ou o programa de incentivo à liderança feminina são explicitamente alinhados ao planejamento de sucessão da empresa","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as; A empresa inclui e avalia a questão da discriminação de gênero e do assédio sexual dentro de seus procedimentos de gestão de riscos estratégicos e reputacionais; A empresa possui métricas para avaliar o sucesso de seus programas contra a discriminação de gênero e o assédio sexual","The Coca-Cola Company","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa usa as informações de seu censo interno para subsidiar o planejamento de ações afirmativas com foco na valorização das colaboradoras mulheres; A empresa estimula a criação de grupos de afinidade internos para reduzir preconceitos, desconstruir estereótipos e combater a discriminação com base em gênero; A empresa possui programa de conscientização todos os seus níveis hierárquicos a fim de envolvê-los e gerar compreensão e comprometimento em relação a equidade de gênero e diversidade; A empresa possui treinamento facultativo de diversidade; A empresa possui programa de treinamento facultativo sobre bias (viéses) e preconceitos de gênero; A empresa possui outras políticas ou práticas para combater a cultura do preconceito contra a mulher e a subestimação de sua capacidade","A empresa concede políticas de trabalho flexível para todos seus/suas colaboradores/as, independentemente da comprovação de demandas específicas","A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as; A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima; A empresa mantém programas de respeito e limites com relação ao trabalho remoto fora do horário de trabalho; A empresa analisa caso a caso as demandas dos/as colaboradores/as; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","161.162.84.81","A empresa monitora, em equipes que possuem colaboradores/as que utilizam políticas de trabalho flexível, questões de comunicação, quantidade de trabalho, distribuição do trabalho, coordenação e comunicação dentre os membros do time; A empresa possui processos de obtenção de feedback sobre as políticas de trabalho flexível; A empresa possui outra prática ou política de monitoramento de políticas de trabalho flexível","","A empresa possui política formal de jornada de trabalho flexível de meio período; Flextime: permite variação de horário na chegada e na saída do trabalho; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa.; Jornadas com redução de dias/horas: funcionários/as podem trabalhar um número menor de dias por semana, ou um número menor de horas por dia; Arranjos contratuais sazonais: funcionários/as trabalham em tempo integral ou parcial por menos de seis meses durante o ano"
"4","A AES Ergos utiliza como base para todos os Programas o Código de Ética e Valores da Companhia","Os colaboradores da Sede Administrativa de Barueri têm horário de trabalho alternativo, das 7 às 16 horas. Por ser opcional, o colaborador interessado em trabalho remoto deve assinar o Termo de Trabalho Remoto e definir, junto com o seu gestor, os dias em que trabalhará remotamente.","A empresa não desenvolve ações relativas a programas de incentivo à liderança feminina.","Os colaboradores da Sede Administrativa de Barueri têm horário de trabalho alternativo, das 7 às 16 horas. Um estudo apontou os horários em que as pessoas seriam mais impactadas pelo trânsito da cidade de São Paulo. Assim, na média, conseguimos reduzir em cerca de 1h30, diariamente, o tempo que cada colaborador gasta na ida e volta ao trabalho. Tempo que agora pode ser dedicado para a família, saúde, estudos ou lazer. Os colaboradores que não estão sujeitos à marcação de ponto e ficam lotados na Sede Administrativa podem adotar o home office (trabalho remoto). A política definida para isso prevê recursos (notebook, internet e telefonia) para que o colaborador efetue suas atividades de onde estiver. Além disso, a AES Ergos adota a compensação de ponte de feriados por meio de um calendário de compensação anual para colaboradores não alocados em escala de revezamento.","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as; A empresa inclui e avalia a questão da discriminação de gênero e do assédio sexual dentro de seus procedimentos de gestão de riscos estratégicos e reputacionais; A empresa possui métricas para avaliar o sucesso de seus programas contra a discriminação de gênero e o assédio sexual","AES Brasil (AES Ergos)","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa possui programa de conscientização todos os seus níveis hierárquicos a fim de envolvê-los e gerar compreensão e comprometimento em relação a equidade de gênero e diversidade; A empresa possui treinamento obrigatório de diversidade; A empresa possui treinamento facultativo de diversidade; A empresa possui programa de treinamento obrigatório sobre bias (viéses) e preconceitos de gênero","A empresa concede políticas de jornada de trabalho flexível apenas para cargos específicos; A empresa possui outros critérios para concessão de jornada de trabalho flexível","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as; A empresa mantém programas de respeito e limites com relação ao trabalho remoto fora do horário de trabalho; A empresa analisa caso a caso as demandas dos/as colaboradores/as; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","189.125.126.40","A empresa possui processos de obtenção de feedback sobre as políticas de trabalho flexível","","A empresa adota informalmente práticas de jornada trabalho flexível; A empresa possui política formal de jornada de trabalho flexível de meio período; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa.; Jornadas com redução de dias/horas: funcionários/as podem trabalhar um número menor de dias por semana, ou um número menor de horas por dia; A empresa possui outras políticas de jornada de trabalho flexível"
"5","Possuímos um programa global de desenvolvimento de liderança feminina com encontro periódicos virtuais envolvendo mulheres de todo grupo com o objetivo de proporcionar trocas de experiências e cases de sucesso.","O horário de entrada e saída é flexível e existe um programa global de home office disponível a todos os colaboradores, independente do nível hierárquico.","A empresa oferece programa/ações de incentivo à liderança feminina apenas a cargos específicos ou à potenciais lideranças femininas que tenham sido identificadas; A empresa promove ações de intercâmbio de experiências entre mulheres em altos cargos de liderança e outras em posições hierarquicamente menos elevadas, com o objetivo de expor as atitudes, competências e habilidades que as líderes desenvolveram para ascender; A empresa oferece treinamento de desenvolvimento de habilidades de liderança específico para mulheres","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as","BP","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa usa as informações de seu censo interno para subsidiar o planejamento de ações afirmativas com foco na valorização das colaboradoras mulheres; A empresa possui outras políticas ou práticas para combater a cultura do preconceito contra a mulher e a subestimação de sua capacidade","A empresa possui outros critérios para concessão de jornada de trabalho flexível","A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","189.99.194.170","A empresa não possui política de monitoramento de políticas de trabalho flexível","","Flextime: permite variação de horário na chegada e na saída do trabalho; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa."
"6","","Desde maio de 2017, o Carrefour realiza projeto em três áreas da empresa para adoção de teleaulas.","A empresa oferece programa/ações de incentivo à liderança feminina apenas a cargos específicos ou à potenciais lideranças femininas que tenham sido identificadas; A empresa promove ações de intercâmbio de experiências entre mulheres em altos cargos de liderança e outras em posições hierarquicamente menos elevadas, com o objetivo de expor as atitudes, competências e habilidades que as líderes desenvolveram para ascender; As redes de networking feminino da empresa são formalmente estabelecidas; A empresa oferece treinamento de desenvolvimento de habilidades de liderança específico para mulheres; As práticas ou o programa de incentivo à liderança feminina são explicitamente alinhados ao planejamento de sucessão da empresa; A empresa possui outras ações nesse sentido","Não informa.","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as; A empresa inclui e avalia a questão da discriminação de gênero e do assédio sexual dentro de seus procedimentos de gestão de riscos estratégicos e reputacionais; A empresa possui outras políticas contra a discriminação de gênero, assédio moral ou assédio sexual","Carrefour Brasil","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa usa as informações de seu censo interno para subsidiar o planejamento de ações afirmativas com foco na valorização das colaboradoras mulheres; A empresa estimula a criação de grupos de afinidade internos para reduzir preconceitos, desconstruir estereótipos e combater a discriminação com base em gênero; A empresa possui programa de conscientização todos os seus níveis hierárquicos a fim de envolvê-los e gerar compreensão e comprometimento em relação a equidade de gênero e diversidade; A empresa possui treinamento obrigatório de diversidade; A empresa possui outras políticas ou práticas para combater a cultura do preconceito contra a mulher e a subestimação de sua capacidade","A empresa concede políticas de jornada de trabalho flexível apenas para cargos específicos","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as; A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","189.112.152.242","A empresa possui outra prática ou política de monitoramento de políticas de trabalho flexível","Campanhas internas sobre o tema ","A empresa adota informalmente práticas de jornada trabalho flexível; A empresa possui outras políticas de jornada de trabalho flexível"
"7","","Sim, existe um programa com 12 modalidades, e, para cada uma delas, existem regras específicas.","A empresa possui práticas não formalizadas de incentivo à liderança feminina; A empresa oferece programa/ações de incentivo à liderança feminina à todas as suas colaboradoras; A empresa promove networking entre as colaboradoras da empresa; As redes de networking feminino da empresa são formalmente estabelecidas","Programa Equilibre","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as; A empresa inclui e avalia a questão da discriminação de gênero e do assédio sexual dentro de seus procedimentos de gestão de riscos estratégicos e reputacionais","Grupo BASF","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa usa as informações de seu censo interno para subsidiar o planejamento de ações afirmativas com foco na valorização das colaboradoras mulheres; A empresa estimula a criação de grupos de afinidade internos para reduzir preconceitos, desconstruir estereótipos e combater a discriminação com base em gênero; A empresa possui treinamento facultativo de diversidade","A empresa concede políticas de jornada de trabalho flexível apenas para cargos específicos; A empresa possui outros critérios para concessão de jornada de trabalho flexível","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa realiza o pagamento de todas as horas extras mas não as evita; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","144.29.129.94","A empresa monitora, em equipes que possuem colaboradores/as que utilizam políticas de trabalho flexível, questões de comunicação, quantidade de trabalho, distribuição do trabalho, coordenação e comunicação dentre os membros do time","","A empresa possui política formal de jornada de trabalho flexível de meio período; Flextime: permite variação de horário na chegada e na saída do trabalho; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa.; Jornadas com redução de dias/horas: funcionários/as podem trabalhar um número menor de dias por semana, ou um número menor de horas por dia; A empresa possui outras políticas de jornada de trabalho flexível"
"8","","Análise de caso a caso.","A empresa possui práticas não formalizadas de incentivo à liderança feminina; A empresa promove networking entre as colaboradoras da empresa; As redes de networking feminino da empresa são formalmente estabelecidas; As práticas ou o programa de incentivo à liderança feminina são explicitamente alinhados ao planejamento de sucessão da empresa","Elaboração do Book de flexworking","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as; A empresa possui outras políticas contra a discriminação de gênero, assédio moral ou assédio sexual","Zurich Santander Brasil Seg e Prev S/A","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa usa as informações de seu censo interno para subsidiar o planejamento de ações afirmativas com foco na valorização das colaboradoras mulheres; A empresa estimula a criação de grupos de afinidade internos para reduzir preconceitos, desconstruir estereótipos e combater a discriminação com base em gênero; A empresa possui programa de conscientização todos os seus níveis hierárquicos a fim de envolvê-los e gerar compreensão e comprometimento em relação a equidade de gênero e diversidade; A empresa possui treinamento obrigatório de diversidade; A empresa possui programa de treinamento obrigatório sobre bias (viéses) e preconceitos de gênero","A empresa concede políticas de jornada de trabalho flexível apenas para mulheres que voltaram de licença-maternidade; A empresa possui outros critérios para concessão de jornada de trabalho flexível","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa compensa as horas extras de todos/as os/as colaboradores/as, incluindo gerentes e executivos/as, de forma regular e registrada (banco de horas); A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as; A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima","200.220.180.66","A empresa não possui política de monitoramento de políticas de trabalho flexível","Código de conduta da empresa (Zurich Basics)","A empresa adota informalmente práticas de jornada trabalho flexível; Flextime: permite variação de horário na chegada e na saída do trabalho; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa.; A empresa possui outras políticas de jornada de trabalho flexível"
"9","","O nosso critério está atrelado a cargos específicos.","A empresa possui práticas não formalizadas de incentivo à liderança feminina; A empresa oferece programa/ações de incentivo à liderança feminina à todas as suas colaboradoras; A empresa promove ações de intercâmbio de experiências entre mulheres em altos cargos de liderança e outras em posições hierarquicamente menos elevadas, com o objetivo de expor as atitudes, competências e habilidades que as líderes desenvolveram para ascender; A empresa promove networking entre as colaboradoras da empresa; As redes de networking feminino da empresa são formalmente estabelecidas","Licenças não remuneradas, day-off","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa inclui e avalia a questão da discriminação de gênero e do assédio sexual dentro de seus procedimentos de gestão de riscos estratégicos e reputacionais; A empresa possui métricas para avaliar o sucesso de seus programas contra a discriminação de gênero e o assédio sexual","Mattos Filho, Veiga Filho, Marrey Jr e Quiroga Advogados","A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa usa as informações de seu censo interno para subsidiar o planejamento de ações afirmativas com foco na valorização das colaboradoras mulheres; A empresa estimula a criação de grupos de afinidade internos para reduzir preconceitos, desconstruir estereótipos e combater a discriminação com base em gênero; A empresa possui programa de conscientização todos os seus níveis hierárquicos a fim de envolvê-los e gerar compreensão e comprometimento em relação a equidade de gênero e diversidade; A empresa possui outras políticas ou práticas para combater a cultura do preconceito contra a mulher e a subestimação de sua capacidade","A empresa concede políticas de jornada de trabalho flexível apenas para cargos específicos","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as; A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","189.125.126.40","A empresa monitora a qualidade do relacionamento de colaboradores/as que utilizam políticas de trabalho flexível com seus/suas superiores imediatos/as; A empresa possui processos de obtenção de feedback sobre as políticas de trabalho flexível","","Flextime: permite variação de horário na chegada e na saída do trabalho; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa.; A empresa possui outras políticas de jornada de trabalho flexível"
